,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
838,Mikhail Prokhorov,Prokhorov,mikhail-prokhorov,12.723,56.0,investments,Finance & Investments,M,Russia,11488.211,"['investments', ' Self Made']","investments, Self Made","Moscow, Russia",Russia,Single,,"Bachelor of Arts/Science, Moscow Institute of Finance",,,True
839,Xu Hang,Xu,xu-hang,1083.736,55.0,medical devices,Healthcare,M,Hong Kong,19573.747,"['medical devices', ' Self Made']","medical devices, Self Made","Shenzhen, China",Hong Kong,,,"EMBA, Ceibs; Bachelor of Engineering, Tsinghua University; Master of Science in Engineering, Tsinghua University",,,True
840,Pallonji Mistry,Mistry,pallonji-mistry,-81.375,92.0,construction,Construction & Engineering,M,Ireland,15742.293,['construction'],construction,"Mumbai, India",Ireland,Married,4,,,,False
841,Philip Anschutz,Anschutz,philip-anschutz,0.0,81.0,investments,Finance & Investments,M,United States,10935.559,['investments'],investments,"Denver, Colorado",United States,Married,3,"Bachelor of Arts/Science, University of Kansas",5,3,False
842,German Larrea Mota Velasco,Larrea Mota Velasco,german-larrea-mota-velasco,254.795,68.0,mining,Metals & Mining,M,Mexico,24686.627,['mining'],mining,"Mexico City, Mexico",Mexico,Married,,,,,False
843,Pierre Omidyar,Omidyar,pierre-omidyar,-407.134,54.0,"eBay, PayPal",Technology,M,United States,18211.731,"['eBay', ' PayPal', ' Self Made']","eBay, PayPal, Self Made","Honolulu, Hawaii",United States,Married,3,"Bachelor of Arts/Science, Tufts University",8,3,True
844,James Ratcliffe,Ratcliffe,james-ratcliffe,0.0,68.0,chemicals,Manufacturing,M,United Kingdom,14384.731,"['chemicals', ' Self Made']","chemicals, Self Made","London, United Kingdom",United Kingdom,Married,,,,,True
845,Zhang Yong,Zhang,zhang-yong-1,-21.551,51.0,restaurants,Food & Beverage,M,Singapore,7620.473,"['restaurants', ' Self Made']","restaurants, Self Made","Singapore, Singapore",Singapore,Married,,,,,True
846,Robert & Philip Ng,Ng,robert-philip-ng,6.999,,real estate,Real Estate,M,Singapore,13962.945,['real estate'],real estate,"Singapore, Singapore",Singapore,,,,,,False
847,Iris Fontbona,Fontbona,iris-fontbona,-132.716,78.0,mining,Metals & Mining,F,Chile,19423.973,['mining'],mining,"Santiago, Chile",Chile,Widowed,3,,,,False
